Company,Sector,Archetype,Confidence,Evidence URL (example),Notes,Aptitude/Assessment,Coding Challenge/OA,Technical (DSA/SQL),System Design/Architecture,Case Study/Business Case,HR/Recruiter Screen,Behavioral/Values,Hiring Manager/Managerial,Group Discussion/Group Exercise,Panel/Loop,Presentation/Assignment
Tata Consultancy Services (TCS),IT Services,IT Services (Mass hiring / Services),High,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Infosys,IT Services,IT Services (Mass hiring / Services),High,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Wipro,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
HCLTech,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Tech Mahindra,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Cognizant,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Capgemini,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Accenture,IT Services,IT Services (Services / Consulting),High,https://www.geeksforgeeks.org/gfg-academy/accenture-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
IBM,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
LTIMindtree,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Mphasis,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Persistent Systems,IT Services,IT Services (Product engineering / Services),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Coforge,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Birlasoft,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Hexaware,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Genpact,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
WNS,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
Concentrix,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
Teleperformance,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
DXC Technology,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Amazon,Big Tech,Big Tech / Product,High,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Google,Big Tech,Big Tech / Product,High,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
