id,name,level,domain,description,default_interview_types,default_rubric_id,skills_focus,estimated_duration,track_tags,is_active,created_at,updated_at,role_context,core_competencies,typical_questions,role_archetype_id,seniority_norm,role_category,default_interview_types_json
1,Software Engineer - Entry Level,entry,software,"Entry-level software engineering role focusing on coding fundamentals, problem-solving, and learning ability. Evaluates data structures, algorithms, debugging skills, and communication of technical concepts.","[""technical"",""hr""]",2,"[""Data Structures"",""Algorithms"",""Coding"",""Problem Solving"",""Collaboration""]",360,"[""Technical"",""Engineering""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""","Entry-level software engineer role focused on programming fundamentals, problem solving, and the ability to explain code clearly. Candidate should demonstrate basic data structures and algorithms, debugging mindset, and clean reasoning. This is not a senior system design interview.","[""Programming Fundamentals"",""Data Structures"",""Algorithms"",""Debugging"",""Problem Decomposition"",""Code Clarity"",""Learning Agility""]","[""Tell me about a project where you wrote significant code. What was your role?"",""Walk me through how you would reverse a linked list."",""You have an array of integers. How would you find the two numbers that add up to a target?"",""Describe a bug you spent a long time debugging. How did you finally find it?"",""Explain the difference between a stack and a queue. When would you use each?"",""How would you approach optimizing a slow database query?"",""Tell me about a time you had to learn a new technology quickly.""]",core_software_engineer,entry,tech,"[""technical"", ""hiring_manager"", ""behavioral""]"
2,Software Engineer - Mid Level,mid,software,"Mid-level software engineering role emphasizing system design, code quality, and team contribution","[""technical"",""hiring_manager""]",1,"[""System Design"",""Code Review"",""Architecture"",""Mentoring"",""Technical Leadership""]",420,"[""Technical"",""Engineering""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,core_software_engineer,mid,tech,"[""technical"", ""hiring_manager"", ""behavioral""]"
3,Data Analyst - Entry Level,entry,data,"Entry-level data analyst role focusing on SQL, data visualization, and analytical thinking. Evaluates structured reasoning, ability to interpret data, and communication of insights to stakeholders.","[""technical"",""hr""]",3,"[""SQL"",""Data Visualization"",""Excel"",""Statistical Analysis"",""Business Acumen""]",360,"[""Technical"",""Analytics""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""","Entry-level data analyst role focused on SQL querying, basic analytical reasoning, and communicating insights clearly. Candidate should show structured thinking, comfort with metrics, and ability to interpret data in a business context.","[""SQL"",""Analytical Reasoning"",""Basic Statistics"",""Data Interpretation"",""Communication"",""Business Acumen"",""Attention to Detail""]","[""Tell me about a time you used data to solve a problem or answer a question."",""How would you approach analyzing customer churn for an e-commerce business?"",""Explain the difference between INNER JOIN and LEFT JOIN. When would you use each?"",""You notice a sudden spike in website traffic. Walk me through how you would investigate."",""Describe a dashboard or report you created. What insights did it provide?"",""How would you explain a complex data finding to a non-technical stakeholder?"",""What metrics would you track to measure the success of a marketing campaign?""]",data_analyst,entry,data,"[""technical"", ""hiring_manager"", ""behavioral""]"
4,Data Scientist - Mid Level,mid,data,"Mid-level data science role covering machine learning, statistical modeling, and stakeholder communication","[""technical"",""hiring_manager""]",1,"[""Machine Learning"",""Statistical Modeling"",""Python"",""Communication"",""Business Impact""]",420,"[""Technical"",""Analytics"",""AI/ML""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,data_scientist,mid,data,"[""technical"", ""hiring_manager"", ""behavioral""]"
5,Product Manager - Entry Level,entry,product,"Associate/entry-level PM role focusing on user research, prioritization, and cross-functional collaboration","[""hiring_manager"",""hr""]",1,"[""User Research"",""Prioritization"",""Stakeholder Management"",""Communication"",""Metrics""]",360,"[""Product"",""Strategy""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,product_manager,entry,product,"[""product"", ""hiring_manager"", ""behavioral"", ""case""]"
6,UX Designer - Entry Level,entry,design,"Entry-level UX design role covering user research, wireframing, and design thinking","[""hiring_manager"",""hr""]",1,"[""User Research"",""Wireframing"",""Prototyping"",""Design Thinking"",""Usability Testing""]",360,"[""Design"",""UX""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,product_designer,entry,product,"[""portfolio"", ""hiring_manager"", ""behavioral"", ""case""]"
7,Sales Development Rep,entry,sales,"Entry-level sales role focusing on prospecting, communication, and handling objections. Evaluates rapport building, active listening, resilience, and ability to articulate value.","[""hiring_manager"",""hr""]",4,"[""Prospecting"",""Communication"",""Objection Handling"",""CRM"",""Persistence""]",300,"[""Sales"",""Business Development""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""","Entry-level sales role focused on communication, listening, persistence, and structured selling. Candidate should demonstrate comfort with rejection, ability to understand customer needs, and disciplined follow-up. No advanced negotiation expected, but basic objection handling and clarity are critical.","[""Communication"",""Active Listening"",""Objection Handling"",""Persistence"",""Customer Focus"",""Organization"",""Resilience""]","[""Tell me about a time you convinced someone to do something they were initially hesitant about."",""How do you handle rejection? Give me a specific example."",""Walk me through your approach to preparing for a sales call."",""A prospect says your product is too expensive. How do you respond?"",""Describe your system for following up with leads."",""Tell me about your biggest sales win or persuasion success."",""How do you prioritize which prospects to focus on?""]",sales_account,entry,sales,"[""sales_roleplay"", ""hiring_manager"", ""behavioral""]"
8,Marketing Associate,entry,marketing,"Entry-level marketing role covering campaign management, content creation, and analytics","[""hiring_manager"",""hr""]",1,"[""Content Creation"",""Social Media"",""Analytics"",""Campaign Management"",""Creativity""]",360,"[""Marketing"",""Growth""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,marketing_growth,entry,product,"[""hiring_manager"", ""behavioral"", ""case""]"
9,Customer Success Associate,entry,customer_success,"Entry-level customer success role focusing on client relationships, problem-solving, and communication","[""hiring_manager"",""hr""]",1,"[""Customer Communication"",""Problem Solving"",""Product Knowledge"",""Empathy"",""Retention""]",300,"[""Customer Success"",""Support""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,customer_success,entry,sales,"[""hiring_manager"", ""behavioral"", ""case""]"
10,Operations Analyst,entry,operations,"Entry-level operations role covering process improvement, data analysis, and project coordination","[""hiring_manager"",""hr""]",1,"[""Process Improvement"",""Data Analysis"",""Project Management"",""Communication"",""Attention to Detail""]",360,"[""Operations"",""Strategy""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,operations_general,entry,business,"[""hiring_manager"", ""behavioral"", ""case""]"
11,Business Analyst,entry,consulting,"Entry-level BA role focusing on requirements gathering, problem structuring, and stakeholder communication","[""hiring_manager"",""technical""]",1,"[""Requirements Analysis"",""Problem Structuring"",""Stakeholder Communication"",""Documentation"",""SQL""]",360,"[""Consulting"",""Business""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,data_analyst,entry,data,"[""technical"", ""hiring_manager"", ""behavioral""]"
12,Financial Analyst,entry,finance,"Entry-level finance role covering financial modeling, analysis, and presentation skills","[""hiring_manager"",""technical""]",1,"[""Financial Modeling"",""Excel"",""Valuation"",""Presentation"",""Attention to Detail""]",360,"[""Finance"",""Analytics""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,bizops_strategy,entry,business,"[""case"", ""hiring_manager"", ""behavioral""]"
13,HR Coordinator,entry,hr,"Entry-level HR role focusing on employee relations, recruitment support, and HR operations","[""hr"",""hiring_manager""]",1,"[""Employee Relations"",""Recruitment"",""HR Operations"",""Communication"",""Confidentiality""]",300,"[""HR"",""People Operations""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,bizops_strategy,entry,business,"[""case"", ""hiring_manager"", ""behavioral""]"
14,Recruiter - Entry Level,entry,recruiting,"Entry-level recruiter role covering sourcing, candidate experience, and pipeline management","[""hr"",""hiring_manager""]",1,"[""Sourcing"",""Candidate Experience"",""Pipeline Management"",""Communication"",""Negotiation""]",300,"[""HR"",""Talent Acquisition""]",True,"""2026-01-01T05:42:36.453Z""","""2026-01-01T05:42:36.453Z""",,,,product_designer,entry,product,"[""portfolio"", ""hiring_manager"", ""behavioral"", ""case""]"
